timestamp,user_x,user_y,user_z,best_ap_id,ap_x,ap_y,ap_z,distance,sinr_db,sinr_linear,received_power_dbm
0.0,397.0,78.0,0.0,ap2,467.0,175.0,0.0,119.6202324023825,30.150594919535536,1035.2839756371297,-79.84940508046446
0.1,399.0,78.0,0.0,ap2,467.0,175.0,0.0,118.46096403457132,30.235182504223985,1055.6458638489062,-79.76481749577601
0.2,401.0,78.0,0.0,ap2,467.0,175.0,0.0,117.32433677630571,30.318925599031203,1076.1989398758963,-79.6810744009688
0.30000000000000004,403.0,78.0,0.0,ap2,467.0,175.0,0.0,116.21101496846157,30.401741871089996,1096.9180605251177,-79.59825812891
0.4,405.0,78.0,0.0,ap2,467.0,175.0,0.0,115.12167476196652,30.483545776636632,1117.7754778081733,-79.51645422336337
0.5,407.0,78.0,0.0,ap2,467.0,175.0,0.0,114.0570032922135,30.56424861943563,1138.740749280632,-79.43575138056437
0.6000000000000001,409.0,78.0,0.0,ap2,467.0,175.0,0.0,113.01769772916099,30.643758634568115,1159.7806629133088,-79.35624136543188
0.7000000000000001,411.0,78.0,0.0,ap2,467.0,175.0,0.0,112.0044641967453,30.721981099818407,1180.8591795449768,-79.27801890018159
0.8,413.0,78.0,0.0,ap2,467.0,175.0,0.0,111.01801655587259,30.798818476832025,1201.9373961372607,-79.20118152316797
0.9,415.0,78.0,0.0,ap2,467.0,175.0,0.0,110.05907504608605,30.87417058410867,1222.9735331785462,-79.12582941589133
1.0,417.0,78.0,0.0,ap2,467.0,175.0,0.0,109.12836478203089,30.94793480372637,1243.9229496508292,-79.05206519627363
1.1,419.0,78.0,0.0,ap2,467.0,175.0,0.0,108.2266141020775,31.020006323465708,1264.7381889688172,-78.97999367653429
1.2000000000000002,421.0,78.0,0.0,ap2,467.0,175.0,0.0,107.35455276791944,31.090278415707843,1285.369059209695,-78.90972158429216
1.3,423.0,78.0,0.0,ap2,467.0,175.0,0.0,106.51291001564083,31.15864275411515,1305.7627507617212,-78.84135724588485
1.4000000000000001,425.0,78.0,0.0,ap2,467.0,175.0,0.0,105.70241246064349,31.22498976866453,1325.863994217466,-78.77501023133547
1.5,427.0,78.0,0.0,ap2,467.0,175.0,0.0,104.92378186092989,31.289209039092043,1345.6152609130484,-78.71079096090796
1.6,429.0,78.0,0.0,ap2,467.0,175.0,0.0,104.17773274553444,31.351189726224135,1364.9570079601726,-78.64881027377587
1.7000000000000002,431.0,78.0,0.0,ap2,467.0,175.0,0.0,103.46496991735899,31.410821040020124,1383.827968929632,-78.58917895997988
1.8,433.0,78.0,0.0,ap2,467.0,175.0,0.0,102.7861858422619,31.467992742441368,1402.1654905245337,-78.53200725755863
1.9000000000000001,435.0,78.0,0.0,ap2,467.0,175.0,0.0,102.1420579389313,31.52259568250402,1419.9059146354584,-78.47740431749598
2.0,437.0,78.0,0.0,ap2,467.0,175.0,0.0,101.53324578678651,31.574522360080294,1436.9850041121085,-78.4254776399197
2.1,439.0,78.0,0.0,ap2,467.0,175.0,0.0,100.96038827183659,31.623667514204683,1453.338409437038,-78.37633248579532
2.2,441.0,78.0,0.0,ap2,467.0,175.0,0.0,100.42410069301094,31.669928730836858,1468.9021722748373,-78.33007126916314
2.3000000000000003,443.0,78.0,0.0,ap2,467.0,175.0,0.0,99.92497185388645,31.71320706425749,1483.6132606301187,-78.28679293574251
